ocorrencias,capital,demacro,interior,total,mes,ano
INVASÃO DE DOMICÍLIO,4,4,27,35,3,2016
DANO,11,7,47,65,3,2016
ESTUPRO CONSUMADO,10,5,23,38,3,2016
ESTUPRO TENTADO,0,0,4,4,3,2016
ESTUPRO DE VULNERÁVEL,8,7,24,39,3,2016
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,4,4,3,2016
HOMICÍDIO DOLOSO,5,0,2,7,2,2016
HOMICÍDIO CULPOSO,1,1,0,2,2,2016
TENTATIVA DE HOMICÍDIO,4,5,16,25,2,2016
LESÃO CORPORAL DOLOSA,833,898,3233,4964,2,2016
MAUS TRATOS,2,5,28,35,2,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,273,260,781,1314,2,2016
CONSTRANGIMENTO ILEGAL,2,5,2,9,2,2016
AMEAÇA,812,817,3537,5166,2,2016
INVASÃO DE DOMICÍLIO,0,4,81,85,2,2016
DANO,9,10,65,84,2,2016
ESTUPRO CONSUMADO,16,9,26,51,2,2016
ESTUPRO TENTADO,1,0,3,4,2,2016
ESTUPRO DE VULNERÁVEL,9,12,18,39,2,2016
OUTROS C/C/ DIGNIDADE SEXUAL,0,1,3,4,2,2016
HOMICÍDIO DOLOSO,4,1,5,10,1,2016
HOMICÍDIO CULPOSO,0,0,1,1,1,2016
TENTATIVA DE HOMICÍDIO,4,3,23,30,1,2016
LESÃO CORPORAL DOLOSA,722,719,2898,4339,1,2016
MAUS TRATOS,4,3,20,27,1,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,206,201,738,1145,1,2016
CONSTRANGIMENTO ILEGAL,3,2,3,8,1,2016
AMEAÇA,664,804,3413,4881,1,2016
INVASÃO DE DOMICÍLIO,0,5,18,23,1,2016
DANO,8,11,55,74,1,2016
ESTUPRO CONSUMADO,10,6,25,41,1,2016
ESTUPRO TENTADO,1,0,1,2,1,2016
ESTUPRO DE VULNERÁVEL,7,4,15,26,1,2016
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,2,3,1,2016
HOMICÍDIO DOLOSO,3,0,5,8,12,2015
HOMICÍDIO CULPOSO,0,0,0,0,12,2015
TENTATIVA DE HOMICÍDIO,3,5,12,20,12,2015
LESÃO CORPORAL DOLOSA,864,810,3022,4696,12,2015
MAUS TRATOS,5,1,17,23,12,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,251,201,735,1187,12,2015
CONSTRANGIMENTO ILEGAL,3,16,24,43,12,2015
AMEAÇA,803,759,3517,5079,12,2015
INVASÃO DE DOMICÍLIO,2,6,51,59,12,2015
DANO,9,11,51,71,12,2015
ESTUPRO CONSUMADO,14,9,27,50,12,2015
ESTUPRO TENTADO,2,1,1,4,12,2015
ESTUPRO DE VULNERÁVEL,14,9,8,31,12,2015
OUTROS C/C/ DIGNIDADE SEXUAL,2,0,2,4,12,2015
HOMICÍDIO DOLOSO,1,1,2,4,11,2015
HOMICÍDIO CULPOSO,0,0,0,0,11,2015
TENTATIVA DE HOMICÍDIO,4,5,13,22,11,2015
LESÃO CORPORAL DOLOSA,797,867,3009,4673,11,2015
MAUS TRATOS,4,6,22,32,11,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,221,239,733,1193,11,2015
CONSTRANGIMENTO ILEGAL,0,4,2,6,11,2015
AMEAÇA,794,774,3498,5066,11,2015
INVASÃO DE DOMICÍLIO,1,5,21,27,11,2015
DANO,15,26,53,94,11,2015
ESTUPRO CONSUMADO,12,6,23,41,11,2015
ESTUPRO TENTADO,2,1,2,5,11,2015
ESTUPRO DE VULNERÁVEL,13,6,20,39,11,2015
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,3,4,11,2015
HOMICÍDIO DOLOSO,1,3,3,7,10,2015
HOMICÍDIO CULPOSO,0,0,0,0,10,2015
TENTATIVA DE HOMICÍDIO,5,3,21,29,10,2015
LESÃO CORPORAL DOLOSA,881,878,3009,4768,10,2015
MAUS TRATOS,6,9,37,52,10,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,263,260,737,1260,10,2015
CONSTRANGIMENTO ILEGAL,0,4,16,20,10,2015
AMEAÇA,850,916,3618,5384,10,2015
INVASÃO DE DOMICÍLIO,4,3,22,29,10,2015
DANO,8,14,72,94,10,2015
ESTUPRO CONSUMADO,12,6,23,41,10,2015
ESTUPRO TENTADO,1,0,1,2,10,2015
ESTUPRO DE VULNERÁVEL,17,2,23,42,10,2015
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,4,5,10,2015
HOMICÍDIO DOLOSO,3,2,7,12,9,2015
HOMICÍDIO CULPOSO,0,0,0,0,9,2015
TENTATIVA DE HOMICÍDIO,3,6,17,26,9,2015
LESÃO CORPORAL DOLOSA,771,798,2629,4198,9,2015
MAUS TRATOS,1,2,34,37,9,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,262,218,757,1237,9,2015
CONSTRANGIMENTO ILEGAL,0,11,0,11,9,2015
AMEAÇA,833,737,3257,4827,9,2015
INVASÃO DE DOMICÍLIO,5,9,24,38,9,2015
DANO,7,14,59,80,9,2015
ESTUPRO CONSUMADO,4,9,25,38,9,2015
ESTUPRO TENTADO,1,0,3,4,9,2015
ESTUPRO DE VULNERÁVEL,17,5,15,37,9,2015
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,4,5,9,2015
HOMICÍDIO DOLOSO,0,1,3,4,8,2015
HOMICÍDIO CULPOSO,2,0,1,3,8,2015
TENTATIVA DE HOMICÍDIO,1,3,14,18,8,2015
LESÃO CORPORAL DOLOSA,800,781,2630,4211,8,2015
MAUS TRATOS,6,5,28,39,8,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,209,171,726,1106,8,2015
CONSTRANGIMENTO ILEGAL,2,3,5,10,8,2015
AMEAÇA,723,699,3258,4680,8,2015
INVASÃO DE DOMICÍLIO,0,5,26,31,8,2015
DANO,12,7,61,80,8,2015
ESTUPRO CONSUMADO,17,5,14,36,8,2015
ESTUPRO TENTADO,2,0,1,3,8,2015
ESTUPRO DE VULNERÁVEL,5,14,12,31,8,2015
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,1,1,8,2015
HOMICÍDIO DOLOSO,0,1,6,7,7,2015
HOMICÍDIO CULPOSO,0,0,0,0,7,2015
TENTATIVA DE HOMICÍDIO,2,4,15,21,7,2015
LESÃO CORPORAL DOLOSA,768,687,2184,3639,7,2015
MAUS TRATOS,0,4,23,27,7,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,200,168,678,1046,7,2015
CONSTRANGIMENTO ILEGAL,1,0,5,6,7,2015
AMEAÇA,753,641,3131,4525,7,2015
INVASÃO DE DOMICÍLIO,0,1,22,23,7,2015
DANO,13,5,50,68,7,2015
ESTUPRO CONSUMADO,14,7,16,37,7,2015
ESTUPRO TENTADO,2,0,3,5,7,2015
ESTUPRO DE VULNERÁVEL,14,3,11,28,7,2015
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,0,0,7,2015
HOMICÍDIO DOLOSO,1,1,5,7,6,2015
HOMICÍDIO CULPOSO,14,0,0,14,6,2015
TENTATIVA DE HOMICÍDIO,2,4,13,19,6,2015
LESÃO CORPORAL DOLOSA,716,712,2324,3752,6,2015
MAUS TRATOS,2,3,28,33,6,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,232,184,706,1122,6,2015
CONSTRANGIMENTO ILEGAL,6,2,1,9,6,2015
AMEAÇA,759,716,3139,4614,6,2015
INVASÃO DE DOMICÍLIO,0,1,13,14,6,2015
DANO,14,8,50,72,6,2015
ESTUPRO CONSUMADO,18,6,21,45,6,2015
ESTUPRO TENTADO,1,0,5,6,6,2015
ESTUPRO DE VULNERÁVEL,12,4,15,31,6,2015
OUTROS C/C/ DIGNIDADE SEXUAL,2,0,2,4,6,2015
HOMICÍDIO DOLOSO,3,3,1,7,5,2015
HOMICÍDIO CULPOSO,1,0,0,1,5,2015
TENTATIVA DE HOMICÍDIO,3,4,14,21,5,2015
LESÃO CORPORAL DOLOSA,658,694,2549,3901,5,2015
MAUS TRATOS,2,5,24,31,5,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,212,168,649,1029,5,2015
CONSTRANGIMENTO ILEGAL,19,39,12,70,5,2015
AMEAÇA,665,621,3213,4499,5,2015
INVASÃO DE DOMICÍLIO,4,4,14,22,5,2015
DANO,13,7,56,76,5,2015
ESTUPRO CONSUMADO,10,10,26,46,5,2015
ESTUPRO TENTADO,0,1,2,3,5,2015
ESTUPRO DE VULNERÁVEL,10,6,18,34,5,2015
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,5,6,5,2015
HOMICÍDIO DOLOSO,2,0,6,8,4,2015
HOMICÍDIO CULPOSO,2,0,1,3,4,2015
TENTATIVA DE HOMICÍDIO,4,2,16,22,4,2015
LESÃO CORPORAL DOLOSA,698,740,2587,4025,4,2015
MAUS TRATOS,2,5,24,31,4,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,236,168,711,1115,4,2015
CONSTRANGIMENTO ILEGAL,1,1,19,21,4,2015
AMEAÇA,718,710,3277,4705,4,2015
INVASÃO DE DOMICÍLIO,12,2,10,24,4,2015
DANO,13,10,79,102,4,2015
ESTUPRO CONSUMADO,7,6,18,31,4,2015
ESTUPRO TENTADO,0,0,2,2,4,2015
ESTUPRO DE VULNERÁVEL,10,7,19,36,4,2015
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,0,0,4,2015
HOMICÍDIO DOLOSO,1,1,6,8,3,2015
HOMICÍDIO CULPOSO,0,0,1,1,3,2015
TENTATIVA DE HOMICÍDIO,10,4,17,31,3,2015
LESÃO CORPORAL DOLOSA,833,807,2725,4365,3,2015
MAUS TRATOS,7,4,17,28,3,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,301,223,732,1256,3,2015
CONSTRANGIMENTO ILEGAL,2,1,1,4,3,2015
AMEAÇA,967,921,3538,5426,3,2015
INVASÃO DE DOMICÍLIO,6,2,17,25,3,2015
DANO,16,15,56,87,3,2015
ESTUPRO CONSUMADO,21,13,27,61,3,2015
ESTUPRO TENTADO,0,1,0,1,3,2015
ESTUPRO DE VULNERÁVEL,7,3,22,32,3,2015
OUTROS C/C/ DIGNIDADE SEXUAL,3,0,3,6,3,2015
HOMICÍDIO DOLOSO,4,1,0,5,2,2015
HOMICÍDIO CULPOSO,1,0,4,5,2,2015
TENTATIVA DE HOMICÍDIO,2,0,13,15,2,2015
LESÃO CORPORAL DOLOSA,751,744,2598,4093,2,2015
MAUS TRATOS,2,2,23,27,2,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,203,175,639,1017,2,2015
CONSTRANGIMENTO ILEGAL,1,6,8,15,2,2015
AMEAÇA,707,779,3130,4616,2,2015
INVASÃO DE DOMICÍLIO,4,0,14,18,2,2015
DANO,11,23,50,84,2,2015
ESTUPRO CONSUMADO,15,6,22,43,2,2015
ESTUPRO TENTADO,0,0,0,0,2,2015
ESTUPRO DE VULNERÁVEL,4,6,17,27,2,2015
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,1,2,2,2015
HOMICÍDIO DOLOSO,2,1,5,8,1,2015
HOMICÍDIO CULPOSO,0,0,0,0,1,2015
TENTATIVA DE HOMICÍDIO,4,3,21,28,1,2015
LESÃO CORPORAL DOLOSA,857,839,3314,5010,1,2015
MAUS TRATOS,5,7,21,33,1,2015
CALÚNIA - DIFAMAÇÃO - INJÚRIA,199,192,659,1050,1,2015
CONSTRANGIMENTO ILEGAL,3,7,8,18,1,2015
AMEAÇA,821,858,3726,5405,1,2015
INVASÃO DE DOMICÍLIO,2,5,11,18,1,2015
DANO,20,16,69,105,1,2015
ESTUPRO CONSUMADO,12,5,16,33,1,2015
ESTUPRO TENTADO,1,0,7,8,1,2015
ESTUPRO DE VULNERÁVEL,17,9,24,50,1,2015
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,1,2,1,2015
HOMICÍDIO DOLOSO,8,0,8,16,12,2014
HOMICÍDIO CULPOSO,0,0,1,1,12,2014
TENTATIVA DE HOMICÍDIO,7,6,30,43,12,2014
LESÃO CORPORAL DOLOSA,912,823,3085,4820,12,2014
MAUS TRATOS,9,6,18,33,12,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,192,186,595,973,12,2014
CONSTRANGIMENTO ILEGAL,0,6,6,12,12,2014
AMEAÇA,791,798,3351,4940,12,2014
INVASÃO DE DOMICÍLIO,1,5,20,26,12,2014
DANO,17,19,75,111,12,2014
ESTUPRO CONSUMADO,18,7,14,39,12,2014
ESTUPRO TENTADO,1,0,7,8,12,2014
ESTUPRO DE VULNERÁVEL,13,7,28,48,12,2014
OUTROS C/C/ DIGNIDADE SEXUAL,1,1,1,3,12,2014
HOMICÍDIO DOLOSO,1,2,4,7,11,2014
HOMICÍDIO CULPOSO,0,0,0,0,11,2014
TENTATIVA DE HOMICÍDIO,7,4,14,25,11,2014
LESÃO CORPORAL DOLOSA,717,751,2865,4333,11,2014
MAUS TRATOS,1,4,21,26,11,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,185,211,635,1031,11,2014
CONSTRANGIMENTO ILEGAL,3,6,7,16,11,2014
AMEAÇA,580,802,3346,4728,11,2014
INVASÃO DE DOMICÍLIO,1,6,25,32,11,2014
DANO,6,10,72,88,11,2014
ESTUPRO CONSUMADO,17,8,14,39,11,2014
ESTUPRO TENTADO,2,0,3,5,11,2014
ESTUPRO DE VULNERÁVEL,0,10,31,41,11,2014
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,3,3,11,2014
HOMICÍDIO DOLOSO,4,14,5,23,10,2014
HOMICÍDIO CULPOSO,2,0,0,2,10,2014
TENTATIVA DE HOMICÍDIO,1,5,21,27,10,2014
LESÃO CORPORAL DOLOSA,821,798,3109,4728,10,2014
MAUS TRATOS,3,10,25,38,10,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,224,224,885,1333,10,2014
CONSTRANGIMENTO ILEGAL,0,7,4,11,10,2014
AMEAÇA,800,935,3672,5407,10,2014
INVASÃO DE DOMICÍLIO,3,4,10,17,10,2014
DANO,10,15,66,91,10,2014
ESTUPRO CONSUMADO,18,6,37,61,10,2014
ESTUPRO TENTADO,1,0,2,3,10,2014
ESTUPRO DE VULNERÁVEL,20,6,21,47,10,2014
OUTROS C/C/ DIGNIDADE SEXUAL,4,0,1,5,10,2014
HOMICÍDIO DOLOSO,0,2,7,9,9,2014
HOMICÍDIO CULPOSO,0,0,0,0,9,2014
TENTATIVA DE HOMICÍDIO,5,5,15,25,9,2014
LESÃO CORPORAL DOLOSA,777,787,2813,4377,9,2014
MAUS TRATOS,3,4,31,38,9,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,220,245,747,1212,9,2014
CONSTRANGIMENTO ILEGAL,2,1,4,7,9,2014
AMEAÇA,679,919,3593,5191,9,2014
INVASÃO DE DOMICÍLIO,6,0,12,18,9,2014
DANO,9,17,69,95,9,2014
ESTUPRO CONSUMADO,10,8,15,33,9,2014
ESTUPRO TENTADO,0,1,3,4,9,2014
ESTUPRO DE VULNERÁVEL,8,7,27,42,9,2014
OUTROS C/C/ DIGNIDADE SEXUAL,2,1,0,3,9,2014
HOMICÍDIO DOLOSO,1,1,5,7,8,2014
HOMICÍDIO CULPOSO,4,0,0,4,8,2014
TENTATIVA DE HOMICÍDIO,5,7,7,19,8,2014
LESÃO CORPORAL DOLOSA,838,738,2526,4102,8,2014
MAUS TRATOS,1,6,29,36,8,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,222,202,660,1084,8,2014
CONSTRANGIMENTO ILEGAL,0,34,10,44,8,2014
AMEAÇA,820,738,2992,4550,8,2014
INVASÃO DE DOMICÍLIO,1,0,38,39,8,2014
DANO,14,12,73,99,8,2014
ESTUPRO CONSUMADO,23,12,19,54,8,2014
ESTUPRO TENTADO,3,1,0,4,8,2014
ESTUPRO DE VULNERÁVEL,18,7,15,40,8,2014
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,3,4,8,2014
HOMICÍDIO DOLOSO,4,0,4,8,7,2014
HOMICÍDIO CULPOSO,0,0,0,0,7,2014
TENTATIVA DE HOMICÍDIO,4,2,10,16,7,2014
LESÃO CORPORAL DOLOSA,786,702,2602,4090,7,2014
MAUS TRATOS,3,2,27,32,7,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,234,203,633,1070,7,2014
CONSTRANGIMENTO ILEGAL,2,4,4,10,7,2014
AMEAÇA,809,808,3203,4820,7,2014
INVASÃO DE DOMICÍLIO,3,5,17,25,7,2014
DANO,12,13,43,68,7,2014
ESTUPRO CONSUMADO,11,5,19,35,7,2014
ESTUPRO TENTADO,1,0,2,3,7,2014
ESTUPRO DE VULNERÁVEL,8,5,20,33,7,2014
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,1,2,7,2014
HOMICÍDIO DOLOSO,1,0,8,9,6,2014
HOMICÍDIO CULPOSO,0,0,1,1,6,2014
TENTATIVA DE HOMICÍDIO,2,8,9,19,6,2014
LESÃO CORPORAL DOLOSA,745,864,2771,4380,6,2014
MAUS TRATOS,0,4,32,36,6,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,185,212,718,1115,6,2014
CONSTRANGIMENTO ILEGAL,2,6,6,14,6,2014
AMEAÇA,662,851,3349,4862,6,2014
INVASÃO DE DOMICÍLIO,0,2,10,12,6,2014
DANO,3,14,55,72,6,2014
ESTUPRO CONSUMADO,7,5,15,27,6,2014
ESTUPRO TENTADO,1,0,2,3,6,2014
ESTUPRO DE VULNERÁVEL,4,8,18,30,6,2014
OUTROS C/C/ DIGNIDADE SEXUAL,0,1,4,5,6,2014
HOMICÍDIO DOLOSO,1,0,4,5,5,2014
HOMICÍDIO CULPOSO,0,0,1,1,5,2014
TENTATIVA DE HOMICÍDIO,2,6,21,29,5,2014
LESÃO CORPORAL DOLOSA,666,670,2353,3689,5,2014
MAUS TRATOS,4,10,17,31,5,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,147,159,625,931,5,2014
CONSTRANGIMENTO ILEGAL,2,7,3,12,5,2014
AMEAÇA,651,741,3239,4631,5,2014
INVASÃO DE DOMICÍLIO,0,2,21,23,5,2014
DANO,9,14,46,69,5,2014
ESTUPRO CONSUMADO,6,5,11,22,5,2014
ESTUPRO TENTADO,0,0,1,1,5,2014
ESTUPRO DE VULNERÁVEL,5,2,10,17,5,2014
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,6,6,5,2014
HOMICÍDIO DOLOSO,1,0,2,3,4,2014
HOMICÍDIO CULPOSO,0,0,0,0,4,2014
TENTATIVA DE HOMICÍDIO,0,3,21,24,4,2014
LESÃO CORPORAL DOLOSA,702,792,2896,4390,4,2014
MAUS TRATOS,0,8,42,50,4,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,173,215,807,1195,4,2014
CONSTRANGIMENTO ILEGAL,1,7,6,14,4,2014
AMEAÇA,622,877,3517,5016,4,2014
INVASÃO DE DOMICÍLIO,8,1,19,28,4,2014
DANO,10,13,55,78,4,2014
ESTUPRO CONSUMADO,8,6,32,46,4,2014
ESTUPRO TENTADO,0,0,2,2,4,2014
ESTUPRO DE VULNERÁVEL,1,7,22,30,4,2014
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,4,2014
HOMICÍDIO DOLOSO,0,1,3,4,3,2014
HOMICÍDIO CULPOSO,0,0,0,0,3,2014
TENTATIVA DE HOMICÍDIO,3,6,25,34,3,2014
LESÃO CORPORAL DOLOSA,827,811,3132,4770,3,2014
MAUS TRATOS,1,4,17,22,3,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,181,220,778,1179,3,2014
CONSTRANGIMENTO ILEGAL,1,9,6,16,3,2014
AMEAÇA,721,906,3701,5328,3,2014
INVASÃO DE DOMICÍLIO,0,4,32,36,3,2014
DANO,11,12,80,103,3,2014
ESTUPRO CONSUMADO,3,10,31,44,3,2014
ESTUPRO TENTADO,0,0,0,0,3,2014
ESTUPRO DE VULNERÁVEL,2,4,33,39,3,2014
OUTROS C/C/ DIGNIDADE SEXUAL,0,2,4,6,3,2014
HOMICÍDIO DOLOSO,2,0,6,8,2,2014
HOMICÍDIO CULPOSO,0,0,1,1,2,2014
TENTATIVA DE HOMICÍDIO,3,3,21,27,2,2014
LESÃO CORPORAL DOLOSA,831,787,2788,4406,2,2014
MAUS TRATOS,3,7,30,40,2,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,148,222,686,1056,2,2014
CONSTRANGIMENTO ILEGAL,1,15,9,25,2,2014
AMEAÇA,766,861,3483,5110,2,2014
INVASÃO DE DOMICÍLIO,1,3,9,13,2,2014
DANO,10,5,71,86,2,2014
ESTUPRO CONSUMADO,10,11,21,42,2,2014
ESTUPRO TENTADO,0,0,0,0,2,2014
ESTUPRO DE VULNERÁVEL,1,6,17,24,2,2014
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,2,2014
HOMICÍDIO DOLOSO,2,0,0,2,1,2014
HOMICÍDIO CULPOSO,0,0,0,0,1,2014
TENTATIVA DE HOMICÍDIO,3,1,28,32,1,2014
LESÃO CORPORAL DOLOSA,904,907,3480,5291,1,2014
MAUS TRATOS,0,10,33,43,1,2014
CALÚNIA - DIFAMAÇÃO - INJÚRIA,176,206,821,1203,1,2014
CONSTRANGIMENTO ILEGAL,2,4,2,8,1,2014
AMEAÇA,894,1105,4107,6106,1,2014
INVASÃO DE DOMICÍLIO,0,5,17,22,1,2014
DANO,10,17,93,120,1,2014
ESTUPRO CONSUMADO,14,5,28,47,1,2014
ESTUPRO TENTADO,0,1,4,5,1,2014
ESTUPRO DE VULNERÁVEL,3,6,27,36,1,2014
OUTROS C/C/ DIGNIDADE SEXUAL,2,0,2,4,1,2014
HOMICÍDIO DOLOSO,2,1,6,9,12,2013
HOMICÍDIO CULPOSO,0,0,0,0,12,2013
TENTATIVA DE HOMICÍDIO,0,6,13,19,12,2013
LESÃO CORPORAL DOLOSA,963,831,3266,5060,12,2013
MAUS TRATOS,0,4,30,34,12,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,161,166,739,1066,12,2013
CONSTRANGIMENTO ILEGAL,0,0,4,4,12,2013
AMEAÇA,702,775,3287,4764,12,2013
INVASÃO DE DOMICÍLIO,29,0,17,46,12,2013
DANO,0,11,70,81,12,2013
ESTUPRO CONSUMADO,10,2,15,27,12,2013
ESTUPRO TENTADO,0,2,1,3,12,2013
ESTUPRO DE VULNERÁVEL,2,4,14,20,12,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,1,1,12,2013
HOMICÍDIO DOLOSO,1,0,5,6,11,2013
HOMICÍDIO CULPOSO,0,0,0,0,11,2013
TENTATIVA DE HOMICÍDIO,4,3,12,19,11,2013
LESÃO CORPORAL DOLOSA,1027,793,2967,4787,11,2013
MAUS TRATOS,1,13,30,44,11,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,240,210,627,1077,11,2013
CONSTRANGIMENTO ILEGAL,0,2,6,8,11,2013
AMEAÇA,761,848,3444,5053,11,2013
INVASÃO DE DOMICÍLIO,0,3,26,29,11,2013
DANO,6,15,54,75,11,2013
ESTUPRO CONSUMADO,7,7,36,50,11,2013
ESTUPRO TENTADO,0,1,4,5,11,2013
ESTUPRO DE VULNERÁVEL,7,2,22,31,11,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,11,2013
HOMICÍDIO DOLOSO,2,0,8,10,10,2013
HOMICÍDIO CULPOSO,0,0,0,0,10,2013
TENTATIVA DE HOMICÍDIO,1,8,22,31,10,2013
LESÃO CORPORAL DOLOSA,936,891,3179,5006,10,2013
MAUS TRATOS,1,10,22,33,10,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,206,226,817,1249,10,2013
CONSTRANGIMENTO ILEGAL,1,1,4,6,10,2013
AMEAÇA,866,899,3599,5364,10,2013
INVASÃO DE DOMICÍLIO,1,1,18,20,10,2013
DANO,5,21,64,90,10,2013
ESTUPRO CONSUMADO,6,7,24,37,10,2013
ESTUPRO TENTADO,0,2,3,5,10,2013
ESTUPRO DE VULNERÁVEL,5,5,17,27,10,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,1,2,3,10,2013
HOMICÍDIO DOLOSO,0,0,30,30,9,2013
HOMICÍDIO CULPOSO,0,0,0,0,9,2013
TENTATIVA DE HOMICÍDIO,1,8,1,10,9,2013
LESÃO CORPORAL DOLOSA,804,742,2845,4391,9,2013
MAUS TRATOS,3,10,30,43,9,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,194,168,738,1100,9,2013
CONSTRANGIMENTO ILEGAL,0,2,3,5,9,2013
AMEAÇA,877,867,3364,5108,9,2013
INVASÃO DE DOMICÍLIO,2,2,14,18,9,2013
DANO,6,10,67,83,9,2013
ESTUPRO CONSUMADO,7,7,25,39,9,2013
ESTUPRO TENTADO,2,2,1,5,9,2013
ESTUPRO DE VULNERÁVEL,8,1,16,25,9,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,4,4,9,2013
HOMICÍDIO DOLOSO,2,1,1,4,8,2013
HOMICÍDIO CULPOSO,0,0,1,1,8,2013
TENTATIVA DE HOMICÍDIO,1,8,16,25,8,2013
LESÃO CORPORAL DOLOSA,836,692,2750,4278,8,2013
MAUS TRATOS,4,3,0,7,8,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,217,202,719,1138,8,2013
CONSTRANGIMENTO ILEGAL,4,4,6,14,8,2013
AMEAÇA,777,913,3372,5062,8,2013
INVASÃO DE DOMICÍLIO,4,1,18,23,8,2013
DANO,5,6,67,78,8,2013
ESTUPRO CONSUMADO,3,1,19,23,8,2013
ESTUPRO TENTADO,1,0,4,5,8,2013
ESTUPRO DE VULNERÁVEL,16,5,4,25,8,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,0,0,8,2013
HOMICÍDIO DOLOSO,0,1,5,6,7,2013
HOMICÍDIO CULPOSO,0,0,0,0,7,2013
TENTATIVA DE HOMICÍDIO,0,4,15,19,7,2013
LESÃO CORPORAL DOLOSA,858,806,2772,4436,7,2013
MAUS TRATOS,2,7,22,31,7,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,160,220,772,1152,7,2013
CONSTRANGIMENTO ILEGAL,0,0,4,4,7,2013
AMEAÇA,818,811,3326,4955,7,2013
INVASÃO DE DOMICÍLIO,1,4,18,23,7,2013
DANO,14,16,57,87,7,2013
ESTUPRO CONSUMADO,3,4,26,33,7,2013
ESTUPRO TENTADO,0,1,2,3,7,2013
ESTUPRO DE VULNERÁVEL,7,7,17,31,7,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,7,2013
HOMICÍDIO DOLOSO,1,3,3,7,6,2013
HOMICÍDIO CULPOSO,0,0,2,2,6,2013
TENTATIVA DE HOMICÍDIO,2,1,19,22,6,2013
LESÃO CORPORAL DOLOSA,897,719,2790,4406,6,2013
MAUS TRATOS,4,4,31,39,6,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,218,194,691,1103,6,2013
CONSTRANGIMENTO ILEGAL,4,22,12,38,6,2013
AMEAÇA,747,829,3236,4812,6,2013
INVASÃO DE DOMICÍLIO,3,2,19,24,6,2013
DANO,6,21,72,99,6,2013
ESTUPRO CONSUMADO,4,8,19,31,6,2013
ESTUPRO TENTADO,0,0,3,3,6,2013
ESTUPRO DE VULNERÁVEL,2,5,10,17,6,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,3,3,6,2013
HOMICÍDIO DOLOSO,1,0,3,4,5,2013
HOMICÍDIO CULPOSO,0,0,0,0,5,2013
TENTATIVA DE HOMICÍDIO,0,2,10,12,5,2013
